LocationAbbr,YearStart,Topic,hospitalization,mortality,prevalence,hospitalization_lo,mortality_lo,prevalence_lo,hospitalization_hi,mortality_hi,prevalence_hi
AZ,2019,Chronic Obstructive Pulmonary Disease,6.15,104.8,6.0,5.96,101.3,5.3,6.35,108.3,6.9
AZ,2019,Diabetes,,59.4,9.9,,57.8,8.9,,61.0,10.9
AZ,2020,Asthma,,1.5,10.2,,1.2,9.4,,1.7,11.1
AZ,2020,Cardiovascular Disease,16.74,144.8,,16.42,142.3,,17.06,147.2,
AZ,2020,Chronic Obstructive Pulmonary Disease,4.2,99.7,5.4,4.04,96.4,4.8,4.36,103.0,6.0
AZ,2020,Diabetes,,83.2,9.9,,81.3,9.1,,85.0,10.7
AZ,2021,Asthma,,1.0,10.0,,0.8,9.3,,1.3,10.9
AZ,2021,Cardiovascular Disease,19.38,158.3,28.0,19.04,155.7,26.9,19.73,160.9,29.1
AZ,2021,Chronic Obstructive Pulmonary Disease,3.67,101.3,5.1,3.52,97.9,4.5,3.82,104.7,5.6
AZ,2021,Diabetes,,94.9,9.8,,92.8,9.1,,96.9,10.6
AZ,2022,Asthma,,1.1,9.8,,0.8,8.8,,1.3,10.8
AZ,2022,Cardiovascular Disease,19.62,148.5,,19.27,146.1,,19.96,151.0,
AZ,2022,Chronic Obstructive Pulmonary Disease,4.2,96.7,5.9,4.04,93.5,5.3,4.35,100.0,6.7
AZ,2022,Diabetes,,77.9,11.4,,76.1,10.4,,79.7,12.4
AZ,2023,Asthma,,,10.4,,,9.4,,,11.3
AZ,2023,Cardiovascular Disease,,,30.0,,,28.8,,,31.2
AZ,2023,Chronic Obstructive Pulmonary Disease,,,4.9,,,4.4,,,5.4
AZ,2023,Diabetes,,,9.9,,,9.2,,,10.7
CA,2019,Asthma,,0.9,8.3,,0.8,7.7,,1.0,9.0
CA,2019,Cardiovascular Disease,25.23,136.9,26.6,25.04,135.8,25.7,25.42,137.9,27.6
CA,2019,Chronic Obstructive Pulmonary Disease,7.12,79.7,4.2,7.02,78.3,3.8,7.22,81.1,4.7
CA,2019,Diabetes,,72.9,9.5,,72.1,8.9,,73.7,10.2
CA,2020,Asthma,,1.0,9.9,,0.9,8.8,,1.1,11.2
CA,2020,Cardiovascular Disease,20.29,144.0,,20.12,142.9,,20.46,145.1,
CA,2020,Chronic Obstructive Pulmonary Disease,4.15,76.7,5.1,4.07,75.4,4.3,4.23,78.1,6.0
CA,2020,Diabetes,,98.7,9.3,,97.8,8.3,,99.6,10.5
CA,2021,Asthma,,0.8,9.4,,0.7,8.5,,0.9,10.4
CA,2021,Cardiovascular Disease,22.64,147.8,26.3,22.46,146.7,25.0,22.82,149.0,27.6
CA,2021,Chronic Obstructive Pulmonary Disease,3.47,71.6,4.4,3.39,70.2,3.8,3.54,72.9,5.0
CA,2021,Diabetes,,106.5,10.9,,105.5,10.0,,107.4,12.0
CA,2022,Asthma,,0.9,8.7,,0.8,7.9,,1.0,9.5
CA,2022,Cardiovascular Disease,23.61,142.4,,23.42,141.3,,23.79,143.5,
CA,2022,Chronic Obstructive Pulmonary Disease,4.05,70.2,4.4,3.98,69.0,3.9,4.13,71.5,4.9
CA,2022,Diabetes,,89.3,10.7,,88.4,9.8,,90.1,11.6
CA,2023,Asthma,,,8.8,,,8.0,,,9.6
CA,2023,Cardiovascular Disease,,,28.9,,,27.8,,,30.1
CA,2023,Chronic Obstructive Pulmonary Disease,,,3.9,,,3.5,,,4.4
CA,2023,Diabetes,,,10.6,,,9.8,,,11.4
CO,2019,Asthma,,0.9,10.7,,0.7,10.0,,1.1,11.6
CO,2019,Cardiovascular Disease,19.66,127.7,24.6,19.21,124.8,23.6,20.12,130.6,25.5
CO,2019,Chronic Obstructive Pulmonary Disease,4.61,113.7,4.3,4.39,109.1,3.8,4.82,118.3,4.7
CO,2019,Diabetes,,72.7,6.6,,70.5,6.1,,74.9,7.2
CO,2020,Asthma,,0.9,10.5,,0.7,9.7,,1.2,11.2
CO,2020,Cardiovascular Disease,16.05,128.1,,15.64,125.3,,16.46,131.0,
CO,2020,Chronic Obstructive Pulmonary Disease,2.98,108.9,4.3,2.8,104.5,3.9,3.15,113.3,4.7
CO,2020,Diabetes,,91.0,7.1,,88.6,6.6,,93.4,7.6
CO,2021,Asthma,,0.8,11.2,,0.6,10.5,,1.0,12.0
CO,2021,Cardiovascular Disease,18.66,135.1,24.7,18.22,132.1,23.8,19.1,138.1,25.6
CO,2021,Chronic Obstructive Pulmonary Disease,2.68,104.5,4.8,2.52,100.1,4.3,2.85,109.0,5.3
CO,2021,Diabetes,,102.2,6.5,,99.7,6.0,,104.8,7.1
CO,2022,Asthma,,0.9,10.9,,0.7,10.1,,1.2,11.8
CO,2022,Cardiovascular Disease,18.56,131.4,,18.13,128.5,,19.0,134.2,
CO,2022,Chronic Obstructive Pulmonary Disease,3.15,105.4,4.9,2.98,101.1,4.4,3.33,109.7,5.5
CO,2022,Diabetes,,91.0,7.6,,88.7,6.9,,93.4,8.3
CO,2023,Asthma,,,11.4,,,10.5,,,12.3
CO,2023,Cardiovascular Disease,,,25.8,,,24.7,,,26.8
CO,2023,Chronic Obstructive Pulmonary Disease,,,4.3,,,3.8,,,4.8
CO,2023,Diabetes,,,8.0,,,7.3,,,8.7
CT,2019,Asthma,,1.0,11.4,,0.7,10.4,,1.4,12.5
CT,2019,Cardiovascular Disease,32.35,143.1,27.6,31.74,139.8,26.5,32.96,146.4,28.8
CT,2019,Chronic Obstructive Pulmonary Disease,7.71,76.3,4.6,7.41,72.2,4.1,8.01,80.4,5.2
CT,2019,Diabetes,,44.4,8.3,,42.5,7.6,,46.3,9.0
CT,2020,Asthma,,1.0,11.7,,0.7,10.6,,1.4,12.9
CT,2020,Cardiovascular Disease,27.22,138.4,,26.65,135.1,,27.79,141.7,
CT,2020,Chronic Obstructive Pulmonary Disease,4.95,66.3,4.6,4.7,62.5,4.0,5.19,70.1,5.2
CT,2020,Diabetes,,60.3,8.3,,58.0,7.5,,62.5,9.1
CT,2021,Asthma,,0.8,11.4,,0.6,10.4,,1.2,12.4
CT,2021,Cardiovascular Disease,32.77,136.7,28.2,32.13,133.4,26.9,33.4,140.0,29.4
CT,2021,Chronic Obstructive Pulmonary Disease,5.11,64.8,4.5,4.86,61.0,4.0,5.37,68.7,5.1
CT,2021,Diabetes,,47.8,9.4,,45.8,8.6,,49.8,10.2
CT,2022,Asthma,,0.9,12.5,,0.6,11.5,,1.2,13.6
CT,2022,Cardiovascular Disease,32.85,137.8,,32.21,134.5,,33.5,141.1,
CT,2022,Chronic Obstructive Pulmonary Disease,6.21,65.9,5.0,5.92,62.1,4.4,6.49,69.7,5.7
CT,2022,Diabetes,,46.5,9.2,,44.5,8.4,,48.4,10.1
CT,2023,Asthma,,,11.0,,,10.0,,,12.1
CT,2023,Cardiovascular Disease,,,28.5,,,27.2,,,29.9
CT,2023,Chronic Obstructive Pulmonary Disease,,,4.2,,,3.6,,,4.9
CT,2023,Diabetes,,,8.4,,,7.6,,,9.3
DC,2019,Asthma,,,12.1,,,10.6,,,13.8
