LocationAbbr,YearStart,Topic,hospitalization,mortality,prevalence,hospitalization_lo,mortality_lo,prevalence_lo,hospitalization_hi,mortality_hi,prevalence_hi
IL,2021,Chronic Obstructive Pulmonary Disease,5.23,86.8,4.9,5.11,84.3,4.1,5.36,89.3,5.8
IL,2021,Diabetes,,77.2,9.7,,75.8,8.5,,78.6,10.9
IL,2022,Asthma,,1.0,8.8,,0.8,7.7,,1.1,10.0
IL,2022,Cardiovascular Disease,28.61,166.6,,28.31,164.6,,28.91,168.6,
IL,2022,Chronic Obstructive Pulmonary Disease,5.36,88.7,5.2,5.23,86.2,4.4,5.49,91.1,6.1
IL,2022,Diabetes,,68.6,10.8,,67.3,9.7,,69.9,11.9
IL,2023,Asthma,,,9.7,,,8.6,,,10.9
IL,2023,Cardiovascular Disease,,,30.5,,,28.9,,,32.2
IL,2023,Chronic Obstructive Pulmonary Disease,,,5.7,,,4.8,,,6.7
IL,2023,Diabetes,,,10.9,,,9.9,,,12.1
IN,2019,Asthma,,1.2,10.7,,0.9,9.8,,1.5,11.6
IN,2019,Cardiovascular Disease,27.34,178.8,32.4,26.94,175.9,31.3,27.74,181.8,33.6
IN,2019,Chronic Obstructive Pulmonary Disease,10.89,155.5,8.3,10.64,150.9,7.6,11.14,160.1,9.0
IN,2019,Diabetes,,81.4,11.3,,79.4,10.6,,83.4,12.1
IN,2020,Asthma,,1.0,10.3,,0.8,9.5,,1.3,11.2
IN,2020,Cardiovascular Disease,23.71,183.9,,23.33,181.0,,24.09,186.9,
IN,2020,Chronic Obstructive Pulmonary Disease,6.31,149.3,7.6,6.11,144.8,7.0,6.5,153.7,8.3
IN,2020,Diabetes,,107.8,10.7,,105.5,10.0,,110.0,11.4
IN,2021,Asthma,,0.9,11.5,,0.7,10.7,,1.2,12.4
IN,2021,Cardiovascular Disease,27.31,191.2,31.9,26.9,188.1,30.9,27.73,194.3,33.0
IN,2021,Chronic Obstructive Pulmonary Disease,6.21,143.5,7.8,6.02,139.0,7.2,6.41,147.9,8.4
IN,2021,Diabetes,,112.2,11.0,,109.8,10.3,,114.5,11.7
IN,2022,Asthma,,1.0,11.0,,0.8,10.2,,1.3,11.8
IN,2022,Cardiovascular Disease,27.89,185.0,,27.46,182.0,,28.31,188.0,
IN,2022,Chronic Obstructive Pulmonary Disease,6.61,148.2,8.1,6.41,143.8,7.5,6.82,152.6,8.7
IN,2022,Diabetes,,99.5,11.3,,97.3,10.7,,101.7,12.0
IN,2023,Asthma,,,11.5,,,10.7,,,12.4
IN,2023,Cardiovascular Disease,,,34.7,,,33.7,,,35.7
IN,2023,Chronic Obstructive Pulmonary Disease,,,7.7,,,7.1,,,8.3
IN,2023,Diabetes,,,11.7,,,11.1,,,12.4
KS,2019,Asthma,,0.9,10.7,,0.6,10.0,,1.3,11.5
KS,2019,Cardiovascular Disease,16.66,166.0,31.6,16.23,161.8,30.7,17.09,170.2,32.6
KS,2019,Chronic Obstructive Pulmonary Disease,4.2,133.7,6.0,3.99,127.3,5.5,4.42,140.1,6.6
KS,2019,Diabetes,,68.5,9.9,,65.8,9.3,,71.3,10.5
KS,2020,Asthma,,1.1,10.6,,0.8,9.8,,1.6,11.4
KS,2020,Cardiovascular Disease,14.63,167.0,,14.23,162.8,,15.04,171.3,
KS,2020,Chronic Obstructive Pulmonary Disease,2.67,121.6,5.8,2.5,115.6,5.3,2.84,127.6,6.3
KS,2020,Diabetes,,91.4,10.1,,88.3,9.5,,94.6,10.8
KS,2021,Asthma,,1.3,11.5,,0.9,10.9,,1.7,12.1
KS,2021,Cardiovascular Disease,16.01,176.1,32.0,15.58,171.7,31.2,16.44,180.5,32.8
KS,2021,Chronic Obstructive Pulmonary Disease,2.49,114.2,5.8,2.32,108.2,5.4,2.66,120.1,6.2
KS,2021,Diabetes,,87.2,10.1,,84.1,9.6,,90.3,10.7
KS,2022,Asthma,,1.3,10.8,,0.9,10.0,,1.7,11.6
KS,2022,Cardiovascular Disease,16.3,173.2,,15.87,168.9,,16.73,177.5,
KS,2022,Chronic Obstructive Pulmonary Disease,2.3,122.7,6.4,2.14,116.7,5.9,2.46,128.8,7.1
KS,2022,Diabetes,,82.0,10.2,,79.0,9.6,,85.0,10.9
KS,2023,Asthma,,,10.1,,,9.3,,,11.0
KS,2023,Cardiovascular Disease,,,32.1,,,31.0,,,33.3
KS,2023,Chronic Obstructive Pulmonary Disease,,,5.9,,,5.3,,,6.5
KS,2023,Diabetes,,,10.5,,,9.7,,,11.3
KY,2019,Asthma,,0.7,10.4,,0.5,9.3,,1.0,11.5
KY,2019,Cardiovascular Disease,33.12,196.4,38.0,32.57,192.6,36.4,33.66,200.2,39.7
KY,2019,Chronic Obstructive Pulmonary Disease,12.8,174.6,9.7,12.47,168.7,8.8,13.14,180.5,10.7
KY,2019,Diabetes,,125.1,11.8,,122.2,10.9,,128.1,12.7
KY,2020,Asthma,,0.9,12.3,,0.6,11.0,,1.2,13.7
KY,2020,Cardiovascular Disease,28.38,204.5,,27.87,200.7,,28.89,208.3,
KY,2020,Chronic Obstructive Pulmonary Disease,7.49,157.0,11.1,7.23,151.4,10.0,7.75,162.5,12.3
KY,2020,Diabetes,,145.2,11.6,,142.0,10.5,,148.4,12.7
KY,2021,Asthma,,0.4,12.5,,0.3,11.3,,0.6,13.7
KY,2021,Cardiovascular Disease,30.2,217.5,37.1,29.65,213.5,35.5,30.74,221.6,38.8
KY,2021,Chronic Obstructive Pulmonary Disease,7.05,161.3,10.1,6.79,155.6,9.1,7.31,167.0,11.1
KY,2021,Diabetes,,167.3,12.5,,163.8,11.4,,170.8,13.8
KY,2022,Asthma,,0.6,11.0,,0.4,9.7,,0.8,12.5
KY,2022,Cardiovascular Disease,30.38,208.6,,29.82,204.7,,30.93,212.5,
KY,2022,Chronic Obstructive Pulmonary Disease,7.57,156.0,10.4,7.3,150.5,9.3,7.85,161.5,11.7
KY,2022,Diabetes,,147.3,13.0,,144.1,11.8,,150.5,14.4
LA,2019,Asthma,,0.8,8.5,,0.6,7.6,,1.1,9.5
LA,2019,Cardiovascular Disease,33.81,207.8,37.7,33.24,203.9,36.1,34.38,211.7,39.3
LA,2019,Chronic Obstructive Pulmonary Disease,10.54,107.6,8.2,10.22,102.9,7.3,10.86,112.3,9.2
LA,2019,Diabetes,,73.3,11.5,,71.0,10.5,,75.6,12.4
LA,2020,Asthma,,0.9,8.8,,0.7,7.7,,1.3,10.0
LA,2020,Cardiovascular Disease,28.95,221.5,,28.41,217.5,,29.49,225.5,
LA,2020,Chronic Obstructive Pulmonary Disease,6.71,115.5,8.0,6.45,110.7,7.0,6.97,120.2,9.2
LA,2020,Diabetes,,108.2,12.9,,105.4,11.8,,111.0,14.1
LA,2021,Asthma,,0.9,10.4,,0.7,9.3,,1.2,11.8
LA,2021,Cardiovascular Disease,33.77,235.5,37.7,33.17,231.3,36.0,34.37,239.7,39.4
LA,2021,Chronic Obstructive Pulmonary Disease,6.61,108.9,8.2,6.34,104.2,7.3,6.87,113.7,9.2
LA,2021,Diabetes,,110.2,12.5,,107.3,11.3,,113.0,13.7
LA,2022,Asthma,,0.5,9.9,,0.3,8.9,,0.8,11.1
LA,2022,Cardiovascular Disease,34.28,224.0,,33.67,220.0,,34.89,228.0,
LA,2022,Chronic Obstructive Pulmonary Disease,6.71,108.7,8.5,6.44,104.0,7.7,6.98,113.3,9.4
LA,2022,Diabetes,,94.4,13.3,,91.8,12.3,,97.0,14.3
LA,2023,Asthma,,,10.8,,,9.6,,,12.2
LA,2023,Cardiovascular Disease,,,40.4,,,38.7,,,42.0
LA,2023,Chronic Obstructive Pulmonary Disease,,,7.9,,,7.0,,,9.0
LA,2023,Diabetes,,,14.6,,,13.4,,,15.8
MA,2019,Asthma,,1.0,11.1,,0.8,10.2,,1.2,12.1
MA,2019,Cardiovascular Disease,28.69,127.2,25.6,28.31,124.9,24.5,29.07,129.6,26.8
MA,2019,Chronic Obstructive Pulmonary Disease,10.34,85.5,4.4,10.12,82.3,3.9,10.57,88.8,4.9
MA,2019,Diabetes,,45.5,7.5,,44.1,6.8,,46.9,8.2
MA,2020,Asthma,,1.0,11.4,,0.8,10.4,,1.3,12.5
MA,2020,Cardiovascular Disease,22.91,126.9,,22.58,124.6,,23.25,129.3,
MA,2020,Chronic Obstructive Pulmonary Disease,5.76,75.5,4.0,5.6,72.4,3.4,5.93,78.5,4.6
MA,2020,Diabetes,,60.1,7.7,,58.5,7.0,,61.7,8.6
MA,2021,Asthma,,1.0,12.7,,0.8,11.7,,1.2,13.8
MA,2021,Cardiovascular Disease,26.49,134.0,26.8,26.12,131.6,25.6,26.85,136.4,28.0
MA,2021,Chronic Obstructive Pulmonary Disease,5.79,72.9,5.3,5.63,69.9,4.7,5.96,75.9,6.0
MA,2021,Diabetes,,56.8,7.9,,55.2,7.1,,58.4,8.7
MA,2022,Asthma,,0.8,11.4,,0.6,10.6,,1.0,12.3
MA,2022,Cardiovascular Disease,25.71,132.3,,25.36,130.0,,26.07,134.7,
MA,2022,Chronic Obstructive Pulmonary Disease,6.22,68.3,5.1,6.05,65.5,4.6,6.4,71.2,5.7
MA,2022,Diabetes,,53.0,9.2,,51.5,8.5,,54.5,10.0
MA,2023,Asthma,,,12.1,,,11.1,,,13.1
MA,2023,Cardiovascular Disease,,,28.0,,,26.7,,,29.2
MA,2023,Chronic Obstructive Pulmonary Disease,,,5.2,,,4.6,,,5.9
MA,2023,Diabetes,,,8.5,,,7.8,,,9.4
MD,2019,Asthma,,1.2,9.8,,0.9,9.1,,1.4,10.5
MD,2019,Cardiovascular Disease,17.5,159.3,31.7,17.2,156.4,30.8,17.81,162.2,32.7
MD,2019,Chronic Obstructive Pulmonary Disease,7.56,79.6,4.9,7.37,76.2,4.5,7.76,83.1,5.3
MD,2019,Diabetes,,75.2,9.9,,73.2,9.3,,77.2,10.5
MD,2020,Asthma,,1.2,9.5,,0.9,8.8,,1.5,10.3
MD,2020,Cardiovascular Disease,13.5,168.3,,13.23,165.3,,13.76,171.3,
MD,2020,Chronic Obstructive Pulmonary Disease,4.46,75.1,4.4,4.31,71.7,4.0,4.6,78.4,4.9
MD,2020,Diabetes,,107.4,9.2,,105.0,8.6,,109.8,9.8
MD,2021,Asthma,,1.1,10.1,,0.9,9.4,,1.4,10.9
MD,2021,Cardiovascular Disease,14.74,165.2,31.5,14.47,162.2,30.6,15.02,168.1,32.5
MD,2021,Chronic Obstructive Pulmonary Disease,4.06,66.6,4.4,3.92,63.4,3.9,4.2,69.8,4.8
MD,2021,Diabetes,,108.8,9.8,,106.4,9.3,,111.2,10.5
MD,2022,Asthma,,1.3,10.3,,1.0,9.6,,1.6,11.1
MD,2022,Cardiovascular Disease,14.77,155.8,,14.49,153.0,,15.04,158.6,
MD,2022,Chronic Obstructive Pulmonary Disease,4.31,65.8,4.5,4.16,62.8,4.0,4.46,68.9,4.9
MD,2022,Diabetes,,99.4,10.6,,97.2,9.9,,101.7,11.3
MD,2023,Asthma,,,11.0,,,10.1,,,11.9
MD,2023,Cardiovascular Disease,,,32.7,,,31.7,,,33.8
MD,2023,Chronic Obstructive Pulmonary Disease,,,5.1,,,4.6,,,5.6
MD,2023,Diabetes,,,10.9,,,10.2,,,11.7
ME,2019,Asthma,,,13.3,,,12.0,,,14.7
ME,2019,Cardiovascular Disease,20.8,142.4,31.5,20.1,137.1,30.1,21.49,147.7,33.0
ME,2019,Chronic Obstructive Pulmonary Disease,5.56,133.3,7.8,5.2,124.9,7.0,5.92,141.8,8.6
ME,2019,Diabetes,,64.2,8.8,,60.6,8.1,,67.7,9.6
ME,2020,Asthma,,,11.8,,,10.7,,,12.9
ME,2020,Cardiovascular Disease,18.07,146.2,,17.4,140.9,,18.75,151.6,
ME,2020,Chronic Obstructive Pulmonary Disease,3.73,114.3,6.9,3.43,106.6,6.3,4.04,122.1,7.6
ME,2020,Diabetes,,70.8,8.3,,67.2,7.6,,74.5,9.0
ME,2021,Asthma,,,13.7,,,12.7,,,14.8
ME,2021,Cardiovascular Disease,20.26,168.4,28.6,19.53,162.6,27.5,20.99,174.2,29.7
ME,2021,Chronic Obstructive Pulmonary Disease,2.82,117.9,7.6,2.55,109.9,6.8,3.09,125.8,8.3
ME,2021,Diabetes,,82.0,8.2,,77.9,7.6,,86.0,8.9
ME,2022,Asthma,,,13.7,,,12.5,,,14.9
ME,2022,Cardiovascular Disease,20.46,167.1,,19.71,161.4,,21.21,172.7,
ME,2022,Chronic Obstructive Pulmonary Disease,3.21,110.1,7.4,2.91,102.7,6.7,3.51,117.5,8.2
ME,2022,Diabetes,,78.9,9.1,,75.1,8.3,,82.8,9.9
ME,2023,Asthma,,,13.4,,,12.3,,,14.5
ME,2023,Cardiovascular Disease,,,30.0,,,28.9,,,31.2
ME,2023,Chronic Obstructive Pulmonary Disease,,,7.3,,,6.6,,,8.0
ME,2023,Diabetes,,,9.0,,,8.4,,,9.7
MI,2019,Asthma,,1.0,12.3,,0.8,11.4,,1.2,13.3
MI,2019,Cardiovascular Disease,38.07,193.8,31.9,37.66,191.4,30.8,38.47,196.2,33.1
MI,2019,Chronic Obstructive Pulmonary Disease,12.33,121.0,7.3,12.1,117.8,6.8,12.56,124.1,8.0
MI,2019,Diabetes,,66.6,9.7,,65.2,9.0,,68.0,10.3
MI,2020,Asthma,,1.2,11.8,,1.0,10.8,,1.5,12.9
MI,2020,Cardiovascular Disease,33.32,205.0,,32.93,202.5,,33.72,207.5,
MI,2020,Chronic Obstructive Pulmonary Disease,7.86,115.2,7.5,7.67,112.1,6.8,8.05,118.3,8.3
MI,2020,Diabetes,,88.6,10.7,,86.9,9.9,,90.2,11.6
MI,2021,Asthma,,0.9,12.4,,0.7,11.5,,1.1,13.4
MI,2021,Cardiovascular Disease,37.1,209.6,32.1,36.67,207.1,31.0,37.53,212.2,33.2
MI,2021,Chronic Obstructive Pulmonary Disease,7.73,109.7,7.0,7.53,106.7,6.4,7.92,112.8,7.7
MI,2021,Diabetes,,93.9,9.5,,92.2,8.8,,95.6,10.2
MI,2022,Asthma,,1.0,12.1,,0.8,11.2,,1.2,13.1
MI,2022,Cardiovascular Disease,39.5,206.3,,39.05,203.8,,39.95,208.8,
MI,2022,Chronic Obstructive Pulmonary Disease,8.24,106.2,8.0,8.04,103.3,7.3,8.44,109.1,8.7
MI,2022,Diabetes,,82.9,10.0,,81.3,9.3,,84.4,10.7
MI,2023,Asthma,,,11.1,,,10.2,,,12.0
MI,2023,Cardiovascular Disease,,,33.1,,,31.9,,,34.4
MI,2023,Chronic Obstructive Pulmonary Disease,,,7.6,,,7.0,,,8.3
MI,2023,Diabetes,,,10.9,,,10.1,,,11.8
MN,2019,Asthma,,1.3,9.0,,1.0,8.4,,1.6,9.6
MN,2019,Cardiovascular Disease,29.03,116.7,26.3,28.52,114.1,25.5,29.55,119.2,27.0
MN,2019,Chronic Obstructive Pulmonary Disease,6.77,87.2,4.0,6.52,83.5,3.6,7.01,90.9,4.3
MN,2019,Diabetes,,87.9,7.9,,85.6,7.4,,90.1,8.4
MN,2020,Asthma,,1.3,8.9,,1.0,8.4,,1.6,9.5
MN,2020,Cardiovascular Disease,24.08,118.1,,23.61,115.6,,24.56,120.7,
MN,2020,Chronic Obstructive Pulmonary Disease,4.28,82.6,4.1,4.08,79.0,3.7,4.48,86.2,4.5
MN,2020,Diabetes,,111.8,7.9,,109.3,7.4,,114.2,8.3
MN,2021,Asthma,,0.9,9.5,,0.6,8.9,,1.1,10.1
MN,2021,Cardiovascular Disease,27.6,123.9,26.9,27.07,121.2,26.1,28.12,126.5,27.6
MN,2021,Chronic Obstructive Pulmonary Disease,4.16,79.7,4.2,3.96,76.1,3.8,4.36,83.2,4.6
MN,2021,Diabetes,,114.6,8.0,,112.0,7.5,,117.1,8.4
MN,2022,Asthma,,0.9,10.1,,0.7,9.4,,1.2,10.8
MN,2022,Cardiovascular Disease,27.85,124.1,,27.32,121.5,,28.38,126.6,
MN,2022,Chronic Obstructive Pulmonary Disease,4.69,78.9,4.7,4.48,75.5,4.3,4.91,82.4,5.2
MN,2022,Diabetes,,106.0,9.0,,103.6,8.5,,108.3,9.6
MN,2023,Asthma,,,10.0,,,9.2,,,10.8
MN,2023,Cardiovascular Disease,,,28.1,,,27.1,,,29.0
MN,2023,Chronic Obstructive Pulmonary Disease,,,4.0,,,3.6,,,4.4
MN,2023,Diabetes,,,9.3,,,8.6,,,10.0
MO,2019,Asthma,,0.9,11.0,,0.7,10.0,,1.2,12.1
MO,2019,Cardiovascular Disease,31.45,187.0,28.0,31.0,183.9,26.7,31.9,190.0,29.4
MO,2019,Chronic Obstructive Pulmonary Disease,9.88,129.9,7.9,9.63,125.6,7.2,10.13,134.1,8.8
MO,2019,Diabetes,,58.8,9.1,,57.1,8.4,,60.5,9.9
MO,2020,Asthma,,0.9,10.1,,0.7,9.2,,1.2,11.1
MO,2020,Cardiovascular Disease,25.41,196.7,,25.0,193.6,,25.82,199.8,
MO,2020,Chronic Obstructive Pulmonary Disease,6.23,130.4,7.5,6.03,126.2,6.9,6.43,134.6,8.2
MO,2020,Diabetes,,77.0,9.5,,75.1,8.8,,79.0,10.3
MO,2021,Asthma,,1.1,10.5,,0.9,9.6,,1.5,11.4
MO,2021,Cardiovascular Disease,30.25,202.4,32.1,29.79,199.2,30.9,30.71,205.6,33.3
MO,2021,Chronic Obstructive Pulmonary Disease,6.2,125.0,7.7,6.0,120.8,7.1,6.41,129.2,8.4
MO,2021,Diabetes,,82.5,10.0,,80.4,9.3,,84.5,10.8
MO,2022,Asthma,,1.1,10.6,,0.9,9.6,,1.4,11.7
MO,2022,Cardiovascular Disease,29.82,199.8,,29.37,196.6,,30.28,202.9,
MO,2022,Chronic Obstructive Pulmonary Disease,6.35,127.4,7.7,6.14,123.3,6.9,6.57,131.6,8.5
MO,2022,Diabetes,,78.8,10.2,,76.8,9.4,,80.7,11.1
MO,2023,Asthma,,,10.0,,,9.0,,,11.2
MO,2023,Cardiovascular Disease,,,32.7,,,31.3,,,34.2
MO,2023,Chronic Obstructive Pulmonary Disease,,,7.5,,,6.7,,,8.3
MO,2023,Diabetes,,,10.7,,,9.9,,,11.7
MS,2019,Asthma,,1.8,10.5,,1.4,9.3,,2.3,11.8
MS,2019,Cardiovascular Disease,24.61,226.7,41.2,24.1,221.7,39.5,25.13,231.8,42.9
MS,2019,Chronic Obstructive Pulmonary Disease,9.54,157.1,8.8,9.22,150.2,7.8,9.86,164.1,9.8
MS,2019,Diabetes,,118.5,13.5,,114.9,12.5,,122.2,14.5
MS,2020,Asthma,,1.8,9.3,,1.4,8.4,,2.4,10.3
MS,2020,Cardiovascular Disease,19.69,245.6,,19.22,240.4,,20.15,250.9,
MS,2020,Chronic Obstructive Pulmonary Disease,5.53,162.7,8.0,5.28,155.7,7.2,5.77,169.7,8.9
MS,2020,Diabetes,,164.6,13.3,,160.4,12.3,,168.9,14.3
MS,2021,Asthma,,1.5,10.4,,1.1,9.1,,2.1,11.8
MS,2021,Cardiovascular Disease,21.54,255.2,40.7,21.05,249.7,38.9,22.04,260.6,42.5
MS,2021,Chronic Obstructive Pulmonary Disease,5.01,163.9,8.4,4.77,156.7,7.4,5.25,171.1,9.5
MS,2021,Diabetes,,182.8,13.8,,178.3,12.6,,187.4,15.1
MS,2022,Asthma,,1.6,9.4,,1.2,8.2,,2.1,10.7
MS,2022,Cardiovascular Disease,21.49,248.0,,20.98,242.7,,21.99,253.2,
MS,2022,Chronic Obstructive Pulmonary Disease,5.01,163.4,9.8,4.77,156.4,8.6,5.25,170.4,11.2
MS,2022,Diabetes,,160.3,13.9,,156.1,12.7,,164.5,15.3
MS,2023,Asthma,,,7.1,,,6.2,,,8.1
MS,2023,Cardiovascular Disease,,,42.6,,,40.8,,,44.5
MS,2023,Chronic Obstructive Pulmonary Disease,,,7.0,,,6.0,,,8.1
MS,2023,Diabetes,,,15.1,,,13.7,,,16.6
MT,2019,Asthma,,,10.8,,,9.8,,,11.8
MT,2019,Cardiovascular Disease,11.77,157.1,26.1,11.2,150.6,24.9,12.34,163.7,27.3
MT,2019,Chronic Obstructive Pulmonary Disease,4.22,143.0,5.9,3.88,132.6,5.3,4.56,153.4,6.6
MT,2019,Diabetes,,68.2,6.4,,63.8,5.8,,72.6,7.1
MT,2020,Asthma,,,11.3,,,10.3,,,12.4
MT,2020,Cardiovascular Disease,9.45,162.7,,8.94,156.0,,9.96,169.3,
MT,2020,Chronic Obstructive Pulmonary Disease,2.49,119.1,5.7,2.23,109.9,5.1,2.74,128.4,6.4
MT,2020,Diabetes,,89.9,7.8,,85.0,7.1,,94.9,8.6
MT,2021,Asthma,,,10.8,,,9.8,,,11.9
MT,2021,Cardiovascular Disease,10.03,175.2,27.2,9.5,168.2,25.9,10.55,182.2,28.5
MT,2021,Chronic Obstructive Pulmonary Disease,2.47,107.2,5.0,2.22,98.2,4.4,2.72,116.2,5.7
MT,2021,Diabetes,,100.9,7.7,,95.6,7.0,,106.2,8.5
MT,2022,Asthma,,,12.0,,,10.9,,,13.1
MT,2022,Cardiovascular Disease,10.08,165.9,,9.56,159.3,,10.6,172.5,
MT,2022,Chronic Obstructive Pulmonary Disease,2.42,110.1,5.7,2.17,101.2,5.1,2.66,118.9,6.5
MT,2022,Diabetes,,89.2,7.1,,84.3,6.5,,94.0,7.8
MT,2023,Asthma,,,12.1,,,11.0,,,13.3
MT,2023,Cardiovascular Disease,,,28.3,,,27.0,,,29.7
MT,2023,Chronic Obstructive Pulmonary Disease,,,6.3,,,5.6,,,7.2
MT,2023,Diabetes,,,7.9,,,7.2,,,8.7
NC,2019,Asthma,,0.8,8.6,,0.7,7.7,,1.0,9.7
NC,2019,Cardiovascular Disease,29.89,154.7,32.4,29.55,152.5,30.9,30.24,156.9,34.0
NC,2019,Chronic Obstructive Pulmonary Disease,10.32,115.6,7.0,10.12,112.5,6.2,10.52,118.8,7.9
NC,2019,Diabetes,,68.1,10.7,,66.6,9.8,,69.5,11.7
NC,2020,Asthma,,1.0,8.2,,0.9,7.4,,1.2,9.2
NC,2020,Cardiovascular Disease,24.68,156.2,,24.36,154.0,,25.0,158.4,
NC,2020,Chronic Obstructive Pulmonary Disease,6.46,106.2,5.7,6.3,103.3,5.1,6.62,109.2,6.5
NC,2020,Diabetes,,82.6,11.1,,81.0,10.2,,84.1,12.1
NC,2021,Asthma,,0.9,8.9,,0.7,7.9,,1.1,10.0
NC,2021,Cardiovascular Disease,27.0,170.9,31.5,26.66,168.6,30.1,27.34,173.2,32.9
NC,2021,Chronic Obstructive Pulmonary Disease,5.72,101.0,6.8,5.57,98.0,6.0,5.88,104.0,7.8
NC,2021,Diabetes,,95.2,11.2,,93.4,10.2,,96.9,12.2
NC,2022,Asthma,,1.0,9.3,,0.8,8.1,,1.2,10.6
NC,2022,Cardiovascular Disease,26.99,165.8,,26.64,163.6,,27.33,168.0,
NC,2022,Chronic Obstructive Pulmonary Disease,6.6,106.0,6.7,6.43,103.0,5.8,6.76,108.9,7.9
NC,2022,Diabetes,,92.0,10.8,,90.3,9.7,,93.6,12.0
NC,2023,Asthma,,,9.8,,,8.5,,,11.3
NC,2023,Cardiovascular Disease,,,34.1,,,32.1,,,36.1
NC,2023,Chronic Obstructive Pulmonary Disease,,,6.2,,,5.2,,,7.3
NC,2023,Diabetes,,,11.0,,,9.8,,,12.3
ND,2019,Asthma,,,8.9,,,7.8,,,10.2
ND,2019,Cardiovascular Disease,16.96,147.7,28.4,16.08,139.9,27.0,17.83,155.6,29.9
ND,2019,Chronic Obstructive Pulmonary Disease,4.78,97.6,4.9,4.32,86.9,4.2,5.24,108.4,5.6
ND,2019,Diabetes,,70.9,8.3,,65.3,7.5,,76.4,9.1
ND,2020,Asthma,,,9.5,,,8.2,,,10.9
ND,2020,Cardiovascular Disease,13.39,147.3,,12.61,139.5,,14.17,155.1,
ND,2020,Chronic Obstructive Pulmonary Disease,2.61,96.6,5.4,2.28,85.8,4.5,2.95,107.4,6.4
ND,2020,Diabetes,,91.8,9.4,,85.5,8.4,,98.1,10.5
ND,2021,Asthma,,,9.3,,,8.3,,,10.4
ND,2021,Cardiovascular Disease,15.7,152.8,29.7,14.85,144.8,28.4,16.56,160.9,31.1
ND,2021,Chronic Obstructive Pulmonary Disease,3.11,92.4,4.6,2.74,81.8,3.9,3.48,103.0,5.3
ND,2021,Diabetes,,87.9,8.9,,81.7,8.1,,94.1,9.8
ND,2022,Asthma,,,10.5,,,9.3,,,11.8
ND,2022,Cardiovascular Disease,16.0,155.0,,15.13,147.0,,16.86,162.9,
ND,2022,Chronic Obstructive Pulmonary Disease,2.94,84.1,5.3,2.57,74.4,4.6,3.3,93.9,6.1
ND,2022,Diabetes,,81.4,9.0,,75.5,8.1,,87.3,10.0
ND,2023,Asthma,,,10.2,,,9.1,,,11.3
ND,2023,Cardiovascular Disease,,,30.1,,,28.8,,,31.4
ND,2023,Chronic Obstructive Pulmonary Disease,,,4.8,,,4.2,,,5.5
ND,2023,Diabetes,,,8.9,,,8.1,,,9.7
NE,2019,Asthma,,1.6,8.7,,1.1,8.0,,2.2,9.4
NE,2019,Cardiovascular Disease,14.04,144.9,28.9,13.57,140.0,28.0,14.52,149.7,29.8
NE,2019,Chronic Obstructive Pulmonary Disease,4.9,126.8,5.2,4.62,119.1,4.8,5.18,134.5,5.7
NE,2019,Diabetes,,87.9,9.2,,84.1,8.7,,91.7,9.8
NE,2020,Asthma,,1.2,8.2,,0.8,7.5,,1.7,9.0
NE,2020,Cardiovascular Disease,12.08,143.8,,11.63,139.0,,12.53,148.6,
NE,2020,Chronic Obstructive Pulmonary Disease,2.65,119.9,4.7,2.44,112.4,4.3,2.86,127.3,5.2
NE,2020,Diabetes,,117.8,9.0,,113.4,8.4,,122.2,9.7
NE,2021,Asthma,,1.2,8.9,,0.7,8.2,,1.7,9.6
NE,2021,Cardiovascular Disease,13.86,160.8,29.4,13.37,155.6,28.5,14.35,166.0,30.4
NE,2021,Chronic Obstructive Pulmonary Disease,2.32,110.8,5.1,2.12,103.6,4.7,2.51,118.1,5.6
NE,2021,Diabetes,,118.8,8.7,,114.3,8.2,,123.3,9.3
NE,2022,Asthma,,,8.2,,,7.3,,,9.2
NE,2022,Cardiovascular Disease,13.74,154.3,,13.25,149.3,,14.24,159.3,
NE,2022,Chronic Obstructive Pulmonary Disease,2.61,104.0,5.0,2.4,97.1,4.4,2.83,110.8,5.6
NE,2022,Diabetes,,109.0,9.8,,104.8,9.0,,113.1,10.6
NE,2023,Asthma,,,8.7,,,8.0,,,9.4
NE,2023,Cardiovascular Disease,,,30.2,,,29.2,,,31.2
NE,2023,Chronic Obstructive Pulmonary Disease,,,4.9,,,4.5,,,5.4
NE,2023,Diabetes,,,9.7,,,9.0,,,10.3
NH,2019,Asthma,,,12.0,,,10.7,,,13.4
NH,2019,Cardiovascular Disease,19.65,143.4,28.1,19.01,137.9,26.5,20.29,148.9,29.7
NH,2019,Chronic Obstructive Pulmonary Disease,5.2,110.0,5.4,4.88,101.9,4.7,5.52,118.1,6.2
NH,2019,Diabetes,,60.2,8.1,,56.6,7.2,,63.7,9.1
NH,2020,Asthma,,,12.5,,,11.3,,,13.8
NH,2020,Cardiovascular Disease,15.95,146.5,,15.37,140.9,,16.52,152.0,
NH,2020,Chronic Obstructive Pulmonary Disease,3.62,92.7,5.7,3.35,85.3,5.0,3.89,100.0,6.5
NH,2020,Diabetes,,70.0,7.5,,66.2,6.8,,73.8,8.3
NH,2021,Asthma,,,13.1,,,11.8,,,14.6
NH,2021,Cardiovascular Disease,18.5,154.1,26.5,17.88,148.3,25.1,19.12,159.9,27.9
NH,2021,Chronic Obstructive Pulmonary Disease,2.83,98.7,6.3,2.59,91.1,5.5,3.07,106.3,7.2
