state,year,condition,brfss_prevalence_aa,brfss_prevalence_lo,brfss_prevalence_hi,nvss_mortality_aa,nvss_mortality_lo,nvss_mortality_hi,cms_hospitalization_aa,cms_hospitalization_lo,cms_hospitalization_hi,brfss_treatment_rate,brfss_treatment_lo,brfss_treatment_hi,brfss_treatment_question,n_suppressed
GA,2019,copd,7.0,6.3,7.9,116.7,113.3,120.1,10.3,10.08,10.52,49.7,41.5,57.9,COPD02,0
GA,2020,copd,6.2,5.6,7.0,114.9,111.5,118.2,6.68,6.5,6.86,61.0,52.7,68.7,COPD02,0
GA,2021,copd,6.2,5.5,7.0,114.4,111.0,117.8,6.6,6.42,6.79,62.5,55.1,69.4,COPD02,0
GA,2022,copd,6.6,6.0,7.3,108.9,105.7,112.1,6.85,6.66,7.03,63.0,55.0,70.3,COPD02,0
GA,2023,copd,5.6,5.0,6.3,,,,,,,70.9,63.2,77.6,COPD02,0
GU,2019,copd,3.4,2.5,4.5,,,,,,,54.0,42.4,65.1,COPD02,0
GU,2020,copd,3.7,2.6,5.4,,,,,,,72.9,56.6,84.7,COPD02,0
GU,2021,copd,,,,,,,,,,,,,COPD02,2
GU,2022,copd,5.5,3.4,8.6,,,,,,,,,,COPD02,1
GU,2023,copd,3.4,2.5,4.7,,,,,,,71.7,57.9,82.4,COPD02,0
HI,2019,copd,4.0,3.4,4.6,44.5,39.6,49.5,5.51,5.08,5.93,74.0,65.4,81.1,COPD02,0
HI,2020,copd,3.2,2.7,3.7,43.9,39.1,48.7,2.98,2.67,3.29,73.1,63.7,80.9,COPD02,0
HI,2021,copd,3.0,2.5,3.4,46.0,41.0,50.9,3.01,2.69,3.32,80.5,72.5,86.6,COPD02,0
HI,2022,copd,3.0,2.6,3.5,38.8,34.5,43.1,3.6,3.26,3.94,69.7,57.7,79.5,COPD02,0
HI,2023,copd,3.6,3.1,4.2,,,,,,,68.9,57.6,78.3,COPD02,0
IA,2019,copd,5.5,5.1,6.1,120.1,114.5,125.7,4.58,4.37,4.79,57.9,51.0,64.6,COPD02,0
IA,2020,copd,5.6,5.1,6.1,108.0,102.7,113.3,2.67,2.51,2.83,52.8,46.6,59.0,COPD02,0
IA,2021,copd,5.9,5.3,6.5,110.4,105.0,115.9,2.64,2.48,2.8,59.9,51.8,67.5,COPD02,0
IA,2022,copd,5.8,5.3,6.5,107.8,102.6,113.1,2.91,2.74,3.08,50.3,41.7,59.0,COPD02,0
IA,2023,copd,5.4,4.8,5.9,,,,,,,60.7,53.5,67.5,COPD02,0
ID,2019,copd,4.7,4.0,5.4,133.0,124.6,141.5,3.61,3.32,3.9,63.4,51.9,73.6,COPD02,0
ID,2020,copd,5.2,4.5,6.0,109.1,101.7,116.6,2.29,2.06,2.52,69.1,57.6,78.7,COPD02,0
ID,2021,copd,5.2,4.6,5.8,118.0,110.2,125.9,2.35,2.12,2.58,67.2,58.0,75.2,COPD02,0
ID,2022,copd,5.5,4.9,6.2,115.9,108.5,123.3,1.77,1.57,1.97,57.2,47.8,66.2,COPD02,0
ID,2023,copd,5.6,4.9,6.3,,,,,,,74.5,66.9,80.8,COPD02,0
IL,2019,copd,5.3,4.7,6.0,96.1,93.5,98.7,9.5,9.33,9.67,60.3,50.2,69.6,COPD02,0
IL,2020,copd,5.7,4.8,6.6,93.0,90.4,95.5,5.59,5.46,5.71,67.7,57.4,76.6,COPD02,0
IL,2021,copd,4.9,4.1,5.8,86.8,84.3,89.3,5.23,5.11,5.36,60.2,50.3,69.4,COPD02,0
IL,2022,copd,5.2,4.4,6.1,88.7,86.2,91.1,5.36,5.23,5.49,71.6,60.6,80.5,COPD02,0
IL,2023,copd,5.7,4.8,6.7,,,,,,,65.3,56.5,73.2,COPD02,0
IN,2019,copd,8.3,7.6,9.0,155.5,150.9,160.1,10.89,10.64,11.14,49.5,42.4,56.6,COPD02,0
IN,2020,copd,7.6,7.0,8.3,149.3,144.8,153.7,6.31,6.11,6.5,51.9,45.3,58.4,COPD02,0
IN,2021,copd,7.8,7.2,8.4,143.5,139.0,147.9,6.21,6.02,6.41,57.6,51.5,63.4,COPD02,0
IN,2022,copd,8.1,7.5,8.7,148.2,143.8,152.6,6.61,6.41,6.82,56.0,50.0,61.9,COPD02,0
IN,2023,copd,7.7,7.1,8.3,,,,,,,62.9,56.5,68.9,COPD02,0
KS,2019,copd,6.0,5.5,6.6,133.7,127.3,140.1,4.2,3.99,4.42,57.2,51.1,63.1,COPD02,0
KS,2020,copd,5.8,5.3,6.3,121.6,115.6,127.6,2.67,2.5,2.84,50.5,42.6,58.4,COPD02,0
KS,2021,copd,5.8,5.4,6.2,114.2,108.2,120.1,2.49,2.32,2.66,62.4,57.0,67.5,COPD02,0
KS,2022,copd,6.4,5.9,7.1,122.7,116.7,128.8,2.3,2.14,2.46,61.4,54.0,68.3,COPD02,0
KS,2023,copd,5.9,5.3,6.5,,,,,,,62.9,57.0,68.4,COPD02,0
KY,2019,copd,9.7,8.8,10.7,174.6,168.7,180.5,12.8,12.47,13.14,47.2,39.2,55.4,COPD02,0
KY,2020,copd,11.1,10.0,12.3,157.0,151.4,162.5,7.49,7.23,7.75,47.6,38.4,57.0,COPD02,0
KY,2021,copd,10.1,9.1,11.1,161.3,155.6,167.0,7.05,6.79,7.31,58.1,50.0,65.9,COPD02,0
KY,2022,copd,10.4,9.3,11.7,156.0,150.5,161.5,7.57,7.3,7.85,67.1,60.0,73.6,COPD02,0
KY,2023,copd,,,,,,,,,,,,,COPD02,0
LA,2019,copd,8.2,7.3,9.2,107.6,102.9,112.3,10.54,10.22,10.86,56.0,47.9,63.7,COPD02,0
LA,2020,copd,8.0,7.0,9.2,115.5,110.7,120.2,6.71,6.45,6.97,60.9,51.3,69.7,COPD02,0
LA,2021,copd,8.2,7.3,9.2,108.9,104.2,113.7,6.61,6.34,6.87,58.8,50.9,66.4,COPD02,0
LA,2022,copd,8.5,7.7,9.4,108.7,104.0,113.3,6.71,6.44,6.98,67.0,60.5,73.0,COPD02,0
LA,2023,copd,7.9,7.0,9.0,,,,,,,65.6,57.9,72.6,COPD02,0
MA,2019,copd,4.4,3.9,4.9,85.5,82.3,88.8,10.34,10.12,10.57,55.2,45.2,64.7,COPD02,0
